DESHDR;v01.0;;00428;3024820119206;9;;9;3024820119206;9;3024820119206;9;;9;;9;;9;;20200529;;;;;ZAE RUE DU PETIT JARD;;;;;;;;;;;;;;9;

DESHD2;;;;ITM ALIMENTAIRE INTERNATIONAL;;75015;PARIS;;ITM ALI INT VERT ST DENIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

DESTRP;;;;;;;;;;

DESLOG;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

DESLIN;5000;;3534545741731;;;;;;;ASS PLATE 26CM AUBERGINE;;;144,000000;;144,000000;;;;;;;;;;;20200529;;;1.15;;;;;;165.600000;;;;;;;;;;;;;

DESLIN;13000;;3534545741915;;;;;;;BOL 14CM TAUPE;;;12,000000;;12,000000;;;;;;;;;;;20200529;;;0.72;;;;;;8.640000;;;;;;;;;;;;;

DESLIN;21000;;3534545742196;;;;;;;TASSE EXPRESSO 20CL AUBERGINE;;;288,000000;;288,000000;;;;;;;;;;;20200529;;;0.62;;;;;;178.560000;;;;;;;;;;;;;

DESLIN;29000;;3534545742011;;;;;;;TASSE EXP ANSE 9CL GRIS;;;96,000000;;96,000000;;;;;;;;;;;20200529;;;0.5;;;;;;48.000000;;;;;;;;;;;;;

DESEND;29;;;4339.68;4339.68;0;;;;;


